$ 2013 N,orth San,"tiam, ps",t,no continuous usgs wq data 2013,,,,,,,
#,,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,NOx,RDOM,RPOM,ALG-BG,ALG-OTH,DO
12.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.42131738
12.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.39344013
12.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.39344013
12.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.40219489
12.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.40219489
12.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.4436145
12.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.44800369
12.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.4896288
13,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.53127218
13.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.5731105
13.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.61070787
13.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.65310529
13.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.72919411
13.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.76750193
13.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.80598665
13.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.84915969
13.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.89724029
13.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.94083498
13.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.94083498
13.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.89724029
13.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.84464924
13.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.79681058
13.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.75835102
13.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.72006823
13.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.69106222
13.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.65310529
13.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.61975936
13.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.62881084
